"ROL3","Language","ROG3","EditName","EditDate"
"azm","Amuzgo, Ipalapa","MX","BM",9/17/2008 0:00:00
"azn","Nahuatl, Western Durango","MX","BM",5/17/2013 0:00:00
"azo","Awing","CM","BM",9/17/2008 0:00:00
"azt","Atta, Faire","RP","BM",9/17/2008 0:00:00
"azz","Nahuatl, Highland Puebla","MX","BM",6/27/2013 0:00:00
"baa","Babatana","BP","BM",6/27/2013 0:00:00
"bab","Bainouk-Gunyuno","PU","BM",9/17/2008 0:00:00
"bac","Badui","ID","BM",9/17/2008 0:00:00
"bae","Bare","VE","BM",5/31/2013 0:00:00
"baf","Nubaca","CM","BM",9/17/2008 0:00:00
"bag","Tuki","CM","BM",9/17/2008 0:00:00
"bah","Bahamas Creole English","BF","BM",9/17/2008 0:00:00
"baj","Barakai","ID","BM",9/17/2008 0:00:00
"bak","Bashkort","RS","BM",6/27/2013 0:00:00
"bam","Bamanankan","ML","BM",6/27/2013 0:00:00
"ban","Bali","ID","BM",6/27/2013 0:00:00
"bao","Waimaha","CO","BM",6/27/2013 0:00:00
"bap","Bantawa","NP","BM",9/17/2008 0:00:00
"bar","Bavarian","AU","BM",12/17/2010 0:00:00
"bas","Basaa","CM","BM",6/27/2013 0:00:00
"bau","Mbat","NI","BM",5/16/2013 0:00:00
"bav","Vengo","CM","BM",12/17/2010 0:00:00
"baw","Bambili-Bambui","CM","BM",9/17/2008 0:00:00
"bax","Bamun","CM","BM",6/27/2013 0:00:00
"bay","Batuley","ID","BM",9/17/2008 0:00:00
"bba","Baatonum","BN","BM",6/27/2013 0:00:00
"bbb","Barai","PP","BM",6/27/2013 0:00:00
"bbc","Batak Toba","ID","BM",6/27/2013 0:00:00
"bbd","Bau","PP","BM",12/17/2010 0:00:00
"bbe","Bangba","CG","BM",9/17/2008 0:00:00
"bbf","Baibai","PP","BM",9/17/2008 0:00:00
"bbg","Barama","GB","BM",9/17/2008 0:00:00
"bbh","Bugan","CH","BM",9/17/2008 0:00:00
"bbi","Barombi","CM","BM",9/17/2008 0:00:00
"bbj","Ghomala","CM","BM",12/17/2010 0:00:00
"bbk","Babanki","CM","BM",8/17/2011 0:00:00
"bbl","Bats","GG","BM",9/17/2008 0:00:00
"bbm","Babango","CG","BM",9/17/2008 0:00:00
"bbn","Uneapa","PP","BM",9/17/2008 0:00:00
"bbo","Konabere","UV","BM",12/17/2010 0:00:00
"bbp","Banda, West Central","CT","BM",9/17/2008 0:00:00
"bbq","Bamali","CM","BM",9/17/2008 0:00:00
"bbr","Girawa","PP","BM",12/17/2010 0:00:00
"bbs","Bakpinka","NI","BM",9/17/2008 0:00:00
"bbt","Mburku","NI","BM",9/17/2008 0:00:00
"bbu","Kulung","NI","BM",12/17/2010 0:00:00
"bbv","Karnai","PP","BM",9/17/2008 0:00:00
"bbw","Baba","CM","BM",9/17/2008 0:00:00
"bbx","Bubia","CM","BM",9/17/2008 0:00:00
"bby","Befang","CM","BM",9/17/2008 0:00:00
"bbz","Arabic, Babalia Creole","CD","BM",9/17/2008 0:00:00
"bca","Bai, Central","CH","BM",9/17/2008 0:00:00
"bcb","Bainouk-Samik","SG","BM",4/21/2011 0:00:00
"bcc","Balochi, Southern","PK","BM",6/27/2013 0:00:00
"bcd","Babar, North","ID","BM",9/17/2008 0:00:00
"bce","Bamenyam","CM","BM",9/17/2008 0:00:00
"bcf","Bamu","PP","BM",6/27/2013 0:00:00
"bcg","Baga Pokur","GV","BM",9/17/2008 0:00:00
"bch","Bariai","PP","BM",6/27/2013 0:00:00
"bci","Baoule","IV","BM",6/27/2013 0:00:00
"bcj","Bardi","AS","BM",9/17/2008 0:00:00
"bck","Bunaba","AS","BM",9/17/2008 0:00:00
"bcl","Bikol, Central","RP","BM",6/27/2013 0:00:00
"bcm","Bannoni","PP","BM",9/17/2008 0:00:00
"bcn","Bali","NI","BM",9/17/2008 0:00:00
"bco","Kaluli","PP","BM",6/27/2013 0:00:00
"bcp","Bali","CG","BM",12/17/2010 0:00:00
"bcq","Bench","ET","BM",12/17/2010 0:00:00
"bcr","Babine","CA","BM",12/17/2010 0:00:00
"bcs","Kohumono","NI","BM",9/17/2008 0:00:00
"bct","Bendi","CG","BM",9/17/2008 0:00:00
"bcu","Awad Bing","PP","BM",6/27/2013 0:00:00
"bcv","Shoo-Minda-Nye","NI","BM",9/17/2008 0:00:00
"bcw","Bana","CM","BM",6/27/2013 0:00:00
"bcy","Bacama","NI","BM",12/17/2010 0:00:00
"bcz","Bainouk-Gunyaamolo","SG","BM",12/17/2010 0:00:00
"bda","Bayot","SG","BM",9/17/2008 0:00:00
"bdb","Basap","ID","BM",9/17/2008 0:00:00
"bdc","Embera-Baudo","CO","BM",9/17/2008 0:00:00
"bdd","Bunama","PP","BM",6/27/2013 0:00:00
"bde","Bade","NI","BM",9/17/2008 0:00:00
"bdf","Biage","PP","BM",5/17/2013 0:00:00
"bdg","Bonggi","MY","BM",12/17/2010 0:00:00
"bdh","Baka","OD","BM",6/27/2013 0:00:00
"bdi","Burun","SU","BM",6/27/2013 0:00:00
"bdj","Bai","OD","BM",9/17/2008 0:00:00
"bdk","Budukh","AJ","BM",9/17/2008 0:00:00
"bdl","Bajau, Indonesian","ID","BM",9/17/2008 0:00:00
"bdm","Buduma","CD","BM",9/17/2008 0:00:00
"bdn","Baldemu","CM","BM",9/17/2008 0:00:00
"bdo","Morom","CD","BM",9/17/2008 0:00:00
"bdp","Bende","TZ","BM",9/17/2008 0:00:00
"bdq","Bahnar","VM","BM",6/27/2013 0:00:00
"bdr","Bajau, West Coast","MY","BM",9/17/2008 0:00:00
"bds","Burunge","TZ","BM",6/27/2013 0:00:00
"bdt","Bhogoto","CT","BM",9/17/2008 0:00:00
"bdu","Oroko","CM","BM",6/27/2013 0:00:00
"bdv","Bodo Parja","IN","BM",12/17/2010 0:00:00
"bdw","Baham","ID","BM",9/17/2008 0:00:00
"bdx","Budong-Budong","ID","BM",9/17/2008 0:00:00
"bdy","Bandjalang","AS","BM",12/17/2010 0:00:00
"bdz","Badeshi","PK","BM",9/17/2008 0:00:00
"bea","Beaver","CA","BM",6/27/2013 0:00:00
"beb","Bebele","CM","BM",9/17/2008 0:00:00
"bec","Iceve-Maci","CM","BM",9/17/2008 0:00:00
"bed","Bedoanas","ID","BM",9/17/2008 0:00:00
"bee","Byangsi","NP","BM",9/17/2008 0:00:00
"bef","Benabena","PP","BM",12/17/2010 0:00:00
"beg","Belait","BX","BM",9/17/2008 0:00:00
"beh","Biali","BN","BM",12/17/2010 0:00:00
"bei","Bakati'","ID","BM",5/16/2013 0:00:00
"bej","Bedawiyet","SU","BM",6/27/2013 0:00:00
"bek","Bebeli","PP","BM",9/17/2008 0:00:00
"bel","Belarusan","BO","BM",6/27/2013 0:00:00
"bem","Bemba","ZA","BM",6/27/2013 0:00:00
"ben","Bengali","BG","BM",6/27/2013 0:00:00
"beo","Beami","PP","BM",12/17/2010 0:00:00
"bep","Behoa","ID","BM",6/27/2013 0:00:00
"beq","Beembe","CF","BM",11/13/2014 0:00:00
"bes","Besme","CD","BM",9/17/2008 0:00:00
"bet","Bete, Guiberoua","IV","BM",6/27/2013 0:00:00
"beu","Blagar","ID","BM",9/17/2008 0:00:00
"bev","Bete, Daloa","IV","BM",12/17/2010 0:00:00
"bew","Betawi","ID","BM",9/17/2008 0:00:00
"bex","Jur Modo","OD","BM",6/27/2013 0:00:00
"bey","Beli","PP","BM",9/17/2008 0:00:00
"bez","Bena","TZ","BM",6/27/2013 0:00:00
"bfa","Bari","OD","BM",6/27/2013 0:00:00
"bfb","Bareli, Pauri","IN","BM",9/17/2008 0:00:00
"bfc","Bai, Panyi","CH","BM",9/17/2008 0:00:00
"bfd","Bafut","CM","BM",12/17/2010 0:00:00
"bfe","Betaf","ID","BM",9/17/2008 0:00:00
"bff","Bofi","CT","BM",9/17/2008 0:00:00
"bfg","Kayan, Busang","ID","BM",9/17/2008 0:00:00
"bfh","Blafe","PP","BM",9/17/2008 0:00:00
"bfi","British Sign Language","UK","BM",9/17/2008 0:00:00
"bfj","Bafanji","CM","BM",9/17/2008 0:00:00
"bfk","Ban Khor Sign Language","TH","BM",9/17/2008 0:00:00
"bfl","Banda-Ndele","CT","BM",9/17/2008 0:00:00
"bfm","Mmen","CM","BM",9/17/2008 0:00:00
"bfn","Bunak","TT","BM",9/17/2008 0:00:00
"bfo","Birifor, Malba","UV","BM",12/17/2010 0:00:00
"bfp","Beba","CM","BM",9/17/2008 0:00:00
"bfq","Badaga","IN","BM",6/27/2013 0:00:00
"bfr","Bazigar","IN","BM",9/17/2008 0:00:00
"bfs","Bai, Southern","CH","BM",9/17/2008 0:00:00
"bft","Balti","PK","BM",6/27/2013 0:00:00
"bfu","Gahri","IN","BM",6/27/2013 0:00:00
"bfw","Bondo","IN","BM",9/17/2008 0:00:00
"bfx","Bantayanon","RP","BM",5/17/2013 0:00:00
"bfy","Bagheli","IN","BM",12/17/2010 0:00:00
"bfz","Pahari, Mahasu","IN","BM",12/17/2010 0:00:00
"bga","Gwamhi-Wuri","NI","BM",9/17/2008 0:00:00
"bgb","Bobongko","ID","BM",9/17/2008 0:00:00
"bgc","Haryanvi","IN","BM",12/17/2010 0:00:00
"bgd","Bareli, Rathwi","IN","BM",12/17/2010 0:00:00
"bge","Bauria","IN","BM",9/17/2008 0:00:00
"bgf","Bangandu","CM","BM",9/17/2008 0:00:00
"bgg","Bugun","IN","BM",9/17/2008 0:00:00
"bgi","Giangan","RP","BM",9/17/2008 0:00:00
"bgj","Bangolan","CM","BM",9/17/2008 0:00:00
"bgk","Bit","LA","BM",9/17/2008 0:00:00
"bgl","Bo","LA","BM",9/17/2008 0:00:00
"bgn","Balochi, Western","PK","BM",6/27/2013 0:00:00
"bgo","Baga Koga","GV","BM",9/17/2008 0:00:00
"bgp","Balochi, Eastern","PK","BM",6/27/2013 0:00:00
"bgq","Bagri","IN","BM",9/17/2008 0:00:00
"bgr","Chin, Bawm","IN","BM",12/17/2010 0:00:00
"bgs","Tagabawa","RP","BM",6/27/2013 0:00:00
"bgt","Bughotu","BP","BM",6/27/2013 0:00:00
"bgu","Mbongno","NI","BM",9/17/2008 0:00:00
"bgv","Warkay-Bipim","ID","BM",9/17/2008 0:00:00
"bgw","Bhatri","IN","BM",12/17/2010 0:00:00
"bgx","Balkan Gagauz Turkish","TU","BM",9/17/2008 0:00:00
"bgy","Benggoi","ID","BM",9/17/2008 0:00:00
"bgz","Banggai","ID","BM",12/17/2010 0:00:00
"bha","Bharia","IN","BM",9/17/2008 0:00:00
"bhb","Bhili","IN","BM",6/27/2013 0:00:00
"bhc","Biga","ID","BM",9/17/2008 0:00:00
"bhd","Bhadrawahi","IN","BM",9/17/2008 0:00:00
"bhe","Bhaya","PK","BM",9/17/2008 0:00:00
"bhf","Odiai","PP","BM",9/17/2008 0:00:00
"bhg","Binandere","PP","BM",6/27/2013 0:00:00
"bhh","Bukharic","IS","BM",9/17/2008 0:00:00
"bhi","Bhilali","IN","BM",9/17/2008 0:00:00
"bhj","Bahing","NP","BM",9/17/2008 0:00:00
"bhl","Bimin","PP","BM",6/27/2013 0:00:00
"bhm","Bathari","MU","BM",9/17/2008 0:00:00
"bhn","Bohtan Neo-Aramaic","GG","BM",9/17/2008 0:00:00
"bho","Bhojpuri","IN","BM",6/27/2013 0:00:00
"bhp","Bima","ID","BM",9/17/2008 0:00:00
"bhq","Tukang Besi South","ID","BM",9/17/2008 0:00:00
"bhr","Malagasy, Bara","MA","BM",6/27/2013 0:00:00
"bhs","Buwal","CM","BM",9/17/2008 0:00:00
"bht","Bhattiyali","IN","BM",9/17/2008 0:00:00
"bhu","Bhunjia","IN","BM",9/17/2008 0:00:00
"bhv","Bahau","ID","BM",9/17/2008 0:00:00
"bhw","Biak","ID","BM",6/27/2013 0:00:00
"bhx","Bhalay","IN","BM",9/17/2008 0:00:00
"bhy","Bhele","CG","BM",6/27/2013 0:00:00
"bhz","Bada","ID","BM",6/27/2013 0:00:00
"bia","Badimaya","AS","BM",9/17/2008 0:00:00
"bib","Bisa","UV","BM",6/27/2013 0:00:00
"bic","Bikaru","PP","BM",9/17/2008 0:00:00
"bid","Bidiyo","CD","BM",9/17/2008 0:00:00
"bie","Bepour","PP","BM",9/17/2008 0:00:00
"bif","Biafada","PU","BM",9/17/2008 0:00:00
"big","Biangai","PP","BM",6/27/2013 0:00:00
"bij","Vaghat-Ya-Bijim-Legeri","NI","BM",9/17/2008 0:00:00
"bil","Bille","NI","BM",5/16/2013 0:00:00
"bim","Bimoba","GH","BM",6/27/2013 0:00:00
"bin","Edo","NI","BM",6/27/2013 0:00:00
"bio","Nai","PP","BM",12/17/2010 0:00:00
"bip","Bila","CG","BM",9/17/2008 0:00:00
"biq","Bipi","PP","BM",9/17/2008 0:00:00
"bir","Bisorio","PP","BM",12/17/2010 0:00:00
"bis","Bislama","NH","BM",6/27/2013 0:00:00
"bit","Berinomo","PP","BM",9/17/2008 0:00:00
"biu","Biete","IN","BM",6/27/2013 0:00:00
"biv","Birifor, Southern","GH","BM",6/27/2013 0:00:00
"biw","Kol","CM","BM",9/17/2008 0:00:00
"bix","Bijori","IN","BM",9/17/2008 0:00:00
"biy","Birhor","IN","BM",9/17/2008 0:00:00
"biz","Baloi","CG","BM",9/17/2008 0:00:00
"bja","Budza","CG","BM",9/17/2008 0:00:00
"bjc","Bariji","PP","BM",9/17/2008 0:00:00
"bje","Biao-Jiao Mien","CH","BM",9/17/2008 0:00:00
"bjf","Barzani Jewish Neo-Aramaic","IS","BM",9/17/2008 0:00:00
"bjg","Bidyogo","PU","BM",6/27/2013 0:00:00
"bjh","Bahinemo","PP","BM",6/27/2013 0:00:00
"bji","Burji","ET","BM",12/17/2010 0:00:00
"bjj","Kanauji","IN","BM",12/17/2010 0:00:00
"bjk","Barok","PP","BM",12/17/2010 0:00:00
"bjl","Bulu","PP","BM",9/17/2008 0:00:00
"bjm","Bajelani","IZ","BM",9/17/2008 0:00:00
"bjn","Banjar","ID","BM",9/17/2008 0:00:00
"bjo","Banda, Mid-Southern","CT","BM",9/17/2008 0:00:00
"bjp","Fanamaket","PP","BM",5/17/2013 0:00:00
"bjr","Binumarien","PP","BM",6/27/2013 0:00:00
"bjs","Bajan","BB","BM",9/17/2008 0:00:00
"bjt","Balanta-Ganja","SG","BM",9/17/2008 0:00:00
"bju","Busuu","CM","BM",9/17/2008 0:00:00
"bjv","Bedjond","CD","BM",5/17/2012 0:00:00
"bjw","Bakwe","IV","BM",9/17/2008 0:00:00
"bjx","Itneg, Banao","RP","BM",9/17/2008 0:00:00
"bjz","Baruga","PP","BM",6/27/2013 0:00:00
"bka","Kyak","NI","BM",9/17/2008 0:00:00
"bkc","Baka","CM","BM",12/17/2010 0:00:00
"bkd","Binukid","RP","BM",6/27/2013 0:00:00
"bkf","Beeke","CG","BM",9/17/2008 0:00:00
"bkg","Buraka","CT","BM",9/17/2008 0:00:00
"bkh","Bakoko","CM","BM",9/17/2008 0:00:00
"bki","Baki","NH","BM",6/27/2013 0:00:00
"bkj","Pande","CT","BM",9/17/2008 0:00:00
"bkk","Brokskat","IN","BM",9/17/2008 0:00:00
"bkl","Berik","ID","BM",6/27/2013 0:00:00
"bkm","Kom","CM","BM",6/27/2013 0:00:00
"bkn","Bukitan","ID","BM",9/17/2008 0:00:00
"bko","Kwa'","CM","BM",5/16/2013 0:00:00
"bkp","Boko","CG","BM",9/17/2008 0:00:00
"bkq","Bakairi","BR","BM",6/27/2013 0:00:00
"bkr","Bakumpai","ID","BM",9/17/2008 0:00:00
"bks","Sorsoganon, Northern","RP","BM",5/16/2013 0:00:00
"bkt","Boloki","CG","BM",6/27/2013 0:00:00
"bku","Buhid","RP","BM",12/17/2010 0:00:00
"bkv","Bekwarra","NI","BM",6/27/2013 0:00:00
"bkw","Bekwel","CF","BM",5/16/2013 0:00:00
"bkx","Baikeno","TT","BM",12/17/2010 0:00:00
"bky","Bokyi","NI","BM",12/17/2010 0:00:00
"bkz","Bungku","ID","BM",9/17/2008 0:00:00
"bla","Blackfoot","CA","BM",6/27/2013 0:00:00
"blb","Bilua","BP","BM",6/27/2013 0:00:00
"blc","Bella Coola","CA","BM",9/17/2008 0:00:00
"bld","Bolango","ID","BM",9/17/2008 0:00:00
"ble","Balanta-Kentohe","PU","BM",6/27/2013 0:00:00
"blf","Buol","ID","BM",9/17/2008 0:00:00
"blg","Balau","MY","BM",9/17/2008 0:00:00
"blh","Kuwaa","LI","BM",12/17/2010 0:00:00
"bli","Bolia","CG","BM",12/17/2010 0:00:00
"blj","Bolongan","ID","BM",9/17/2008 0:00:00
"blk","Pa'o","BM","BM",6/27/2013 0:00:00
"blm","Beli","OD","BM",9/17/2008 0:00:00
"bln","Bikol, Southern Catanduanes","RP","BM",5/16/2013 0:00:00
"blo","Anii","BN","BM",9/17/2008 0:00:00
"blp","Blablanga","BP","BM",9/17/2008 0:00:00
"blq","Baluan-Pam","PP","BM",9/17/2008 0:00:00
"blr","Blang","CH","BM",9/28/2015 0:00:00
"bls","Balaesang","ID","BM",9/17/2008 0:00:00
"blt","Tai Dam","VM","BM",6/27/2013 0:00:00
"blv","Bolo","AO","BM",9/17/2008 0:00:00
"blw","Balangao","RP","BM",6/27/2013 0:00:00
"blx","Ayta, Mag-Indi","RP","BM",6/27/2013 0:00:00
"bly","Notre","BN","BM",9/17/2008 0:00:00
"blz","Balantak","ID","BM",6/27/2013 0:00:00
"bma","Lame","NI","BM",9/17/2008 0:00:00
"bmb","Bembe","CG","BM",6/27/2013 0:00:00
"bmc","Biem","PP","BM",9/17/2008 0:00:00
"bmd","Baga Manduri","GV","BM",9/17/2008 0:00:00
"bme","Limassa","CT","BM",9/17/2008 0:00:00
"bmf","Bom","SL","BM",9/17/2008 0:00:00
"bmg","Bamwe","CG","BM",9/17/2008 0:00:00
"bmh","Kein","PP","BM",12/17/2010 0:00:00
"bmi","Bagirmi","CD","BM",9/17/2008 0:00:00
"bmj","Bote","NP","BM",5/16/2013 0:00:00
"bmk","Ghayavi","PP","BM",12/17/2010 0:00:00
"bml","Bomboli","CG","BM",9/17/2008 0:00:00
"bmm","Malagasy, Northern Betsimisaraka","MA","BM",9/17/2008 0:00:00
"bmo","Bambalang","CM","BM",6/27/2013 0:00:00
"bmp","Bulgebi","PP","BM",9/17/2008 0:00:00
"bmq","Bomu","ML","BM",6/27/2013 0:00:00
"bmr","Muinane","CO","BM",6/27/2013 0:00:00
"bms","Kanuri, Bilma","NG","BM",9/17/2008 0:00:00
"bmt","Biao Mon","CH","BM",9/17/2008 0:00:00
"bmu","Somba-Siawari","PP","BM",6/27/2013 0:00:00
"bmv","Bum","CM","BM",6/27/2013 0:00:00
"bmw","Bomwali","CF","BM",9/17/2008 0:00:00
"bmx","Baimak","PP","BM",9/17/2008 0:00:00
"bmz","Baramu","PP","BM",12/17/2010 0:00:00
"bna","Bonerate","ID","BM",9/17/2008 0:00:00
"bnb","Bookan","MY","BM",9/17/2008 0:00:00
"bnd","Banda","ID","BM",9/17/2008 0:00:00
"bne","Bintauna","ID","BM",9/17/2008 0:00:00
"bnf","Masiwang","ID","BM",9/17/2008 0:00:00
"bng","Benga","EK","BM",6/27/2013 0:00:00
"bni","Bangi","CG","BM",6/27/2013 0:00:00
"bnj","Tawbuid, Eastern","RP","BM",12/17/2010 0:00:00
"bnk","Bierebo","NH","BM",9/17/2008 0:00:00
"bnl","Boon","SO","BM",9/17/2008 0:00:00
"bnm","Batanga","EK","BM",6/27/2013 0:00:00
"bnn","Bunun","TW","BM",6/27/2013 0:00:00
"bno","Bantoanon","RP","BM",6/27/2013 0:00:00
"bnp","Bola","PP","BM",6/27/2013 0:00:00
"bnq","Bantik","ID","BM",9/17/2008 0:00:00
"bnr","Butmas-Tur","NH","BM",9/17/2008 0:00:00
"bns","Bundeli","IN","BM",12/17/2010 0:00:00
"bnu","Bentong","ID","BM",9/17/2008 0:00:00
"bnv","Beneraf","ID","BM",9/17/2008 0:00:00
"bnw","Bisis","PP","BM",9/17/2008 0:00:00
"bnx","Bangubangu","CG","BM",9/17/2008 0:00:00
"bny","Bintulu","MY","BM",9/17/2008 0:00:00
"bnz","Beezen","CM","BM",9/17/2008 0:00:00
"boa","Bora","PE","BM",6/27/2013 0:00:00
"bob","Aweer","KE","BM",9/17/2008 0:00:00
"bod","Tibetan, Central","CH","BM",6/27/2013 0:00:00
"boe","Mundabli","CM","BM",9/17/2008 0:00:00
"bof","Bolon","UV","BM",9/17/2008 0:00:00
"bog","Bamako Sign Language","ML","BM",9/17/2008 0:00:00
"boh","Boma","CG","BM",9/17/2008 0:00:00
"boi","Barbareno","US","BM",5/31/2013 0:00:00
"boj","Anjam","PP","BM",6/27/2013 0:00:00
"bok","Bonjo","CF","BM",9/17/2008 0:00:00
"bol","Bole","NI","BM",9/17/2008 0:00:00
"bom","Berom","NI","BM",6/27/2013 0:00:00
"bon","Bine","PP","BM",6/27/2013 0:00:00
"boo","Bozo, Tiemacewe","ML","BM",9/17/2008 0:00:00
"bop","Bonkiman","PP","BM",9/17/2008 0:00:00
"boq","Bogaya","PP","BM",9/17/2008 0:00:00
"bor","Bororo","BR","BM",6/27/2013 0:00:00
"bos","Bosnian","BK","BM",6/27/2013 0:00:00
"bot","Bongo","OD","BM",9/17/2008 0:00:00
"bou","Bondei","TZ","BM",6/27/2013 0:00:00
"bov","Tuwuli","GH","BM",12/17/2010 0:00:00
"bow","Rema","PP","BM",5/31/2013 0:00:00
"box","Buamu","UV","BM",6/27/2013 0:00:00
"boy","Bodo","CT","BM",9/17/2008 0:00:00
"boz","Bozo, Tieyaxo","ML","BM",9/18/2009 0:00:00
"bpa","Daakaka","NH","BM",5/16/2013 0:00:00
"bpd","Banda-Banda","CT","BM",9/17/2008 0:00:00
"bpg","Bonggo","ID","BM",9/17/2008 0:00:00
"bph","Botlikh","RS","BM",9/17/2008 0:00:00
"bpi","Bagupi","PP","BM",9/17/2008 0:00:00
"bpj","Binji","CG","BM",12/17/2010 0:00:00
"bpk","Orowe","NC","BM",9/17/2008 0:00:00
"bpl","Broome Pearling Lugger Pidgin","AS","BM",9/17/2008 0:00:00
"bpm","Biyom","PP","BM",9/17/2008 0:00:00
"bpn","Dzao Min","CH","BM",9/17/2008 0:00:00
"bpo","Anasi","ID","BM",9/17/2008 0:00:00
"bpp","Kaure","ID","BM",6/27/2013 0:00:00
"bpq","Malay, Banda","ID","BM",9/17/2008 0:00:00
"bpr","Blaan, Koronadal","RP","BM",6/27/2013 0:00:00
"bps","Blaan, Sarangani","RP","BM",6/27/2013 0:00:00
"bpu","Bongu","PP","BM",9/17/2008 0:00:00
"bpv","Marind, Bian","ID","BM",9/17/2008 0:00:00
"bpw","Bo","PP","BM",9/17/2008 0:00:00
"bpx","Bareli, Palya","IN","BM",9/17/2008 0:00:00
"bpy","Bishnupriya","IN","BM",12/17/2010 0:00:00
"bpz","Bilba","ID","BM",9/17/2008 0:00:00
"bqa","Tchumbuli","BN","BM",9/17/2008 0:00:00
"bqb","Bagusa","ID","BM",9/17/2008 0:00:00
"bqc","Boko","BN","BM",6/27/2013 0:00:00
"bqd","Bung","CM","BM",9/17/2008 0:00:00
"bqg","Bago-Kusuntu","TO","BM",9/17/2008 0:00:00
"bqh","Baima","CH","BM",9/17/2008 0:00:00
"bqi","Bakhtiari","IR","BM",9/17/2008 0:00:00
"bqj","Bandial","SG","BM",12/17/2010 0:00:00
"bqk","Banda-Mbres","CT","BM",9/17/2008 0:00:00
"bql","Bilakura","PP","BM",9/17/2008 0:00:00
"bqm","Wumboko","CM","BM",9/17/2008 0:00:00
"bqn","Bulgarian Sign Language","BU","BM",9/17/2008 0:00:00
"bqo","Balo","CM","BM",9/17/2008 0:00:00
"bqp","Busa","NI","BM",6/27/2013 0:00:00
"bqq","Biritai","ID","BM",9/17/2008 0:00:00
"bqr","Burusu","ID","BM",9/17/2008 0:00:00
"bqs","Bosmun","PP","BM",9/17/2008 0:00:00
"bqt","Bamukumbit","CM","BM",9/17/2008 0:00:00
"bqu","Boguru","CG","BM",9/17/2008 0:00:00
"bqv","Koro Wachi","NI","BM",5/16/2013 0:00:00
"bqw","Buru","NI","BM",9/17/2008 0:00:00
"bqx","Baangi","NI","BM",9/17/2008 0:00:00
"bqy","Bengkala Sign Language","ID","BM",5/16/2013 0:00:00
"bqz","Bakaka","CM","BM",9/17/2008 0:00:00
"bra","Braj Bhasha","IN","BM",6/27/2013 0:00:00
"brb","Lave","LA","BM",6/27/2013 0:00:00
"brc","Berbice Creole Dutch","GY","BM",9/17/2008 0:00:00
"brd","Baram","NP","BM",5/16/2013 0:00:00
"bre","Breton","FR","BM",6/27/2013 0:00:00
"brf","Bera","CG","BM",12/17/2010 0:00:00
"brg","Baure","BL","BM",6/27/2013 0:00:00
"brh","Brahui","PK","BM",6/27/2013 0:00:00
"bri","Mokpwe","CM","BM",6/27/2013 0:00:00
"brj","Bieria","NH","BM",12/17/2010 0:00:00
"brl","Birwa","BC","BM",9/17/2008 0:00:00
"brm","Barambu","CG","BM",9/17/2008 0:00:00
"brn","Boruca","CS","BM",9/17/2008 0:00:00
"bro","Brokkat","BT","BM",9/17/2008 0:00:00
"brp","Barapasi","ID","BM",9/17/2008 0:00:00
"brq","Breri","PP","BM",9/17/2008 0:00:00
"brr","Birao","BP","BM",9/17/2008 0:00:00
"brs","Baras","ID","BM",9/17/2008 0:00:00
"brt","Bitare","NI","BM",9/17/2008 0:00:00
"bru","Bru, Eastern","LA","BM",1/22/2015 0:00:00
"brv","Bru, Western","TH","BM",9/17/2008 0:00:00
"brw","Bellari","IN","BM",9/17/2008 0:00:00
"brx","Bodo","IN","BM",6/27/2013 0:00:00
"bry","Burui","PP","BM",9/17/2008 0:00:00
"brz","Bilbil","PP","BM",9/17/2008 0:00:00
"bsa","Abinomn","ID","BM",9/17/2008 0:00:00
"bsb","Bisaya, Brunei","BX","BM",12/17/2010 0:00:00
"bsc","Oniyan","SG","BM",6/27/2013 0:00:00
"bse","Wushi","CM","BM",9/17/2008 0:00:00
"bsf","Bauchi","NI","BM",9/17/2008 0:00:00
"bsg","Bashkardi","IR","BM",9/17/2008 0:00:00
"bsh","Kati","AF","BM",9/17/2008 0:00:00
"bsi","Bassossi","CM","BM",9/17/2008 0:00:00
"bsj","Bangwinji","NI","BM",12/17/2010 0:00:00
"bsk","Burushaski","PK","BM",9/17/2008 0:00:00
"bsm","Busami","ID","BM",9/17/2008 0:00:00
"bsn","Barasana-Eduria","CO","BM",6/27/2013 0:00:00
"bso","Buso","CD","BM",9/17/2008 0:00:00
"bsp","Baga Sitemu","GV","BM",6/27/2013 0:00:00
"bsq","Bassa","LI","BM",6/27/2013 0:00:00
"bsr","Bassa-Kontagora","NI","BM",9/17/2008 0:00:00
"bss","Akoose","CM","BM",6/27/2013 0:00:00
"bst","Basketo","ET","BM",12/17/2010 0:00:00
"bsu","Bahonsuai","ID","BM",9/17/2008 0:00:00
"bsw","Baiso","ET","BM",9/17/2008 0:00:00
"bsx","Yangkam","NI","BM",9/17/2008 0:00:00
"bsy","Bisaya, Sabah","MY","BM",12/17/2010 0:00:00
"bta","Bata","NI","BM",9/17/2008 0:00:00
"btc","Bati","CM","BM",9/17/2008 0:00:00
"btd","Batak Dairi","ID","BM",12/17/2010 0:00:00
"bte","Gamo-Ningi","NI","BM",9/17/2008 0:00:00
"btf","Birgit","CD","BM",9/17/2008 0:00:00
"btg","Bete, Gagnoa","IV","BM",9/17/2008 0:00:00
"bth","Bidayuh, Biatah","MY","BM",6/27/2013 0:00:00
"bti","Burate","ID","BM",9/17/2008 0:00:00
"btj","Malay, Bacanese","ID","BM",9/17/2008 0:00:00
